@relation regression_q2

@attribute X numeric
@attribute Y numeric

@data
-1,12.714453
-1,4.225464
-0.976724,11.825856
-0.91308,11.823411
-0.899884,4.053879
-0.855544,4.208962
-0.625735,9.012113
-0.565422,8.469979
-0.552766,4.017842
-0.5403,4.029003
-0.484595,3.628204
-0.475999,7.694369
-0.344904,6.684315
-0.34447,3.78519
-0.331209,6.419518
-0.255863,3.669226
-0.169421,4.686331
-0.122388,3.761096
-0.061481,3.957369
0.021552,3.108881
0.037213,3.054728
0.078443,2.609914
0.109054,2.314831
0.150208,3.18029
0.162733,3.216475
0.278997,1.072288
0.397924,-0.121534
0.407343,2.989125
0.497464,2.78871
0.534544,2.866812
0.558664,-1.552245
0.636572,-2.285431
0.785013,-3.66433
0.825544,2.702372
0.851562,2.865899
0.861557,-4.326243
0.88757,-4.264386
0.909798,2.547276
0.946835,-5.386269
0.962359,2.446549
